CustomerID,recency,frequency,monetary,average_order_value,will_purchase,snapshot_date
12346,155,11,372.86,33.89636363636364,0,2010-12-01
12347,30,1,611.53,611.53,1,2010-12-01
12348,64,1,222.16,222.16,1,2010-12-01
12349,33,3,2671.14,890.38,0,2010-12-01
12351,1,1,300.93,300.93,0,2010-12-01
12352,1,2,343.8,171.9,0,2010-12-01
12353,34,1,317.76,317.76,0,2010-12-01
12355,193,1,488.21000000000004,488.21000000000004,0,2010-12-01
12356,6,3,3562.25,1187.4166666666667,0,2010-12-01
12357,14,2,12079.99,6039.995,0,2010-12-01
12358,1,3,2719.01,906.3366666666667,0,2010-12-01
12359,51,6,2563.36,427.2266666666667,0,2010-12-01
12360,5,5,1590.83,318.166,0,2010-12-01
12361,88,3,321.35,107.11666666666667,0,2010-12-01
12362,364,1,130.0,130.0,0,2010-12-01
12366,259,1,500.24,500.24,0,2010-12-01
12368,254,1,917.6999999999999,917.6999999999999,0,2010-12-01
12369,39,3,1791.15,597.05,0,2010-12-01
12370,250,3,774.62,258.20666666666665,1,2010-12-01
12371,35,3,2179.42,726.4733333333334,0,2010-12-01
12373,250,2,763.0500000000001,381.52500000000003,0,2010-12-01
12374,47,3,2246.29,748.7633333333333,0,2010-12-01
12376,15,2,503.15,251.575,0,2010-12-01
12377,7,2,1798.2,899.1,1,2010-12-01
12378,188,1,1407.7,1407.7,0,2010-12-01
12379,48,2,767.98,383.99,0,2010-12-01
12380,91,7,6951.49,993.0699999999999,0,2010-12-01
12385,5,1,1938.4,1938.4,0,2010-12-01
12387,41,1,143.94,143.94,0,2010-12-01
12388,71,2,1120.45,560.225,0,2010-12-01
12389,28,3,1433.33,477.77666666666664,0,2010-12-01
12391,90,5,2312.53,462.506,0,2010-12-01
12392,217,1,234.75000000000003,234.75000000000003,0,2010-12-01
12393,8,2,816.85,408.42499999999995,0,2010-12-01
12395,32,3,1702.54,567.5133333333333,1,2010-12-01
12396,300,1,931.43,931.43,0,2010-12-01
12399,11,3,853.65,284.55,0,2010-12-01
12400,40,1,205.25,205.25,0,2010-12-01
12402,18,5,1031.3,206.26,0,2010-12-01
12403,147,1,591.6600000000001,591.6600000000001,0,2010-12-01
12404,308,1,63.24,63.24,0,2010-12-01
12406,25,3,2975.06,991.6866666666668,0,2010-12-01
12408,11,3,1452.22,484.07333333333327,0,2010-12-01
12409,46,4,12346.619999999999,3086.6549999999997,0,2010-12-01
12410,128,1,320.38,320.38,0,2010-12-01
12411,35,1,346.9,346.9,0,2010-12-01
12412,28,3,1370.05,456.68333333333334,0,2010-12-01
12413,28,1,241.35,241.35,0,2010-12-01
12414,89,3,390.0,130.0,0,2010-12-01
12415,1,7,19543.84,2791.977142857143,0,2010-12-01
12416,282,1,202.56,202.56,0,2010-12-01
12417,36,11,3167.81,287.9827272727273,1,2010-12-01
12418,39,3,1352.62,450.8733333333334,0,2010-12-01
12419,11,2,503.01,251.505,0,2010-12-01
12421,41,2,291.56,145.78,0,2010-12-01
12422,20,14,4428.24,316.30285714285714,0,2010-12-01
12423,13,2,763.08,381.54,1,2010-12-01
12424,48,2,1579.07,789.535,0,2010-12-01
12425,74,1,964.21,964.21,0,2010-12-01
12426,288,1,762.48,762.48,0,2010-12-01
12429,67,4,2454.01,613.5024999999999,1,2010-12-01
12431,35,12,4012.27,334.35583333333335,1,2010-12-01
12433,25,3,3418.27,1139.4233333333334,1,2010-12-01
12434,7,1,297.29,297.29,0,2010-12-01
12435,22,4,6096.04,1524.01,0,2010-12-01
12437,21,21,7731.99,368.19,0,2010-12-01
12439,308,2,1158.18,579.09,0,2010-12-01
12440,88,2,859.2,429.6,0,2010-12-01
12443,358,1,485.31,485.31,0,2010-12-01
12445,46,1,301.58000000000004,301.58000000000004,0,2010-12-01
12449,36,2,768.6,384.3,0,2010-12-01
12450,25,3,490.32,163.44000000000003,0,2010-12-01
12451,89,3,3634.36,1211.4533333333334,0,2010-12-01
12454,21,4,13151.44,3287.86,0,2010-12-01
12455,71,4,3413.09,853.2725,0,2010-12-01
12457,61,1,632.68,632.68,0,2010-12-01
12458,53,2,830.09,415.045,0,2010-12-01
12459,231,1,454.36,454.36,0,2010-12-01
12460,82,1,326.65,326.65,0,2010-12-01
12466,308,1,56.73,56.73,0,2010-12-01
12467,49,1,132.8,132.8,0,2010-12-01
12468,152,3,2941.2,980.4,0,2010-12-01
12469,148,2,3070.54,1535.27,0,2010-12-01
12470,315,1,211.95,211.95,0,2010-12-01
12471,0,49,20139.739999999998,411.01510204081626,1,2010-12-01
12472,22,12,9677.18,806.4316666666667,1,2010-12-01
12474,4,13,5048.66,388.35846153846154,0,2010-12-01
12475,35,1,426.26,426.26,0,2010-12-01
12476,22,12,7298.99,608.2491666666666,1,2010-12-01
12477,25,3,7056.63,2352.21,0,2010-12-01
12480,25,3,2183.2200000000003,727.7400000000001,0,2010-12-01
12481,2,5,6605.69,1321.138,1,2010-12-01
12482,202,29,23691.4,816.944827586207,0,2010-12-01
12483,4,11,2635.6,239.60000000000002,0,2010-12-01
12484,109,6,1828.43,304.73833333333334,0,2010-12-01
12485,155,1,708.1,708.1,0,2010-12-01
12486,57,1,1037.28,1037.28,0,2010-12-01
12487,356,1,285.29999999999995,285.29999999999995,0,2010-12-01
12490,4,11,4405.71,400.5190909090909,0,2010-12-01
12492,29,1,452.0,452.0,0,2010-12-01
12494,37,2,569.17,284.58500000000004,1,2010-12-01
12495,266,1,357.4,357.4,0,2010-12-01
12496,246,2,54.09,27.045,0,2010-12-01
12497,26,2,5205.400000000001,2602.7000000000003,0,2010-12-01
12499,186,1,393.72,393.72,0,2010-12-01
12500,61,8,1697.39,212.17375,0,2010-12-01
12503,210,1,1126.0,1126.0,0,2010-12-01
12504,43,2,297.0,148.5,0,2010-12-01
12505,34,1,955.2,955.2,0,2010-12-01
12507,210,1,539.25,539.25,0,2010-12-01
12510,85,7,4195.45,599.35,0,2010-12-01
12511,54,1,3084.02,3084.02,0,2010-12-01
12514,267,1,580.08,580.08,0,2010-12-01
12516,56,2,1336.56,668.28,0,2010-12-01
12519,102,1,385.7,385.7,0,2010-12-01
12523,0,12,2582.38,215.19833333333335,0,2010-12-01
12524,14,9,6640.39,737.8211111111111,0,2010-12-01
12525,124,3,973.73,324.57666666666665,0,2010-12-01
12527,120,2,386.8,193.4,0,2010-12-01
12529,154,1,316.48,316.48,0,2010-12-01
12530,41,5,2096.98,419.396,0,2010-12-01
12531,312,1,1807.98,1807.98,0,2010-12-01
12533,253,2,1367.89,683.9449999999999,0,2010-12-01
12537,34,1,732.94,732.94,0,2010-12-01
12538,4,1,276.5,276.5,0,2010-12-01
12539,76,3,5646.400000000001,1882.1333333333332,0,2010-12-01
12540,4,16,8854.25,553.390625,1,2010-12-01
12542,110,2,481.88,240.94,0,2010-12-01
12543,74,1,980.25,980.25,0,2010-12-01
12547,126,1,175.78,175.78,0,2010-12-01
12549,201,6,1575.68,262.61333333333334,0,2010-12-01
12553,11,2,916.47,458.235,0,2010-12-01
12554,74,1,468.5,468.5,0,2010-12-01
12555,308,1,129.23,129.23,0,2010-12-01
12557,58,3,6105.18,2035.0600000000002,1,2010-12-01
12562,11,2,1185.18,592.5899999999999,0,2010-12-01
12563,34,1,249.24,249.24,0,2010-12-01
12567,14,5,2366.2,473.23999999999995,1,2010-12-01
12568,270,1,70.0,70.0,0,2010-12-01
12570,308,1,77.52,77.52,0,2010-12-01
12573,7,4,556.87,139.2175,0,2010-12-01
12575,83,2,622.8199999999999,311.40999999999997,0,2010-12-01
12576,18,3,826.89,275.63,0,2010-12-01
12577,7,5,995.9499999999999,199.19,1,2010-12-01
12578,11,2,1847.94,923.97,0,2010-12-01
12580,202,1,637.2,637.2,0,2010-12-01
12582,48,2,1469.04,734.52,0,2010-12-01
12583,11,12,6310.2,525.85,1,2010-12-01
12586,0,3,1865.73,621.91,0,2010-12-01
12588,25,3,743.88,247.96,0,2010-12-01
12589,47,6,4048.98,674.83,0,2010-12-01
12591,16,2,899.3,449.65,0,2010-12-01
12592,145,3,2145.06,715.02,0,2010-12-01
12594,4,5,1751.89,350.37800000000004,0,2010-12-01
12595,130,1,299.02,299.02,0,2010-12-01
12598,89,3,1511.01,503.67,0,2010-12-01
12599,7,6,1264.14,210.69000000000003,0,2010-12-01
12600,1,11,2368.38,215.30727272727273,1,2010-12-01
12601,30,1,104.19999999999999,104.19999999999999,0,2010-12-01
12605,2,4,1232.95,308.2375,0,2010-12-01
12606,308,1,21.0,21.0,0,2010-12-01
12608,30,1,415.79,415.79,0,2010-12-01
12609,0,6,2309.01,384.83500000000004,0,2010-12-01
12613,14,5,3490.69,698.138,0,2010-12-01
12615,39,4,3449.79,862.4475,0,2010-12-01
12616,14,1,417.8,417.8,0,2010-12-01
12619,186,1,140.14,140.14,0,2010-12-01
12621,2,15,10621.53,708.102,1,2010-12-01
12623,42,6,3442.7400000000002,573.79,0,2010-12-01
12625,135,2,2481.06,1240.53,0,2010-12-01
12629,11,2,1558.22,779.11,0,2010-12-01
12631,82,5,2841.07,568.2139999999999,0,2010-12-01
12632,146,2,804.88,402.44,0,2010-12-01
12633,8,3,3514.18,1171.3933333333332,0,2010-12-01
12634,161,2,490.0,245.0,0,2010-12-01
12635,18,2,1241.23,620.615,0,2010-12-01
12636,364,1,141.0,141.0,0,2010-12-01
12637,4,4,2318.41,579.6025,0,2010-12-01
12638,265,1,249.8,249.8,0,2010-12-01
12639,60,2,826.27,413.135,0,2010-12-01
12643,11,6,5005.78,834.2966666666667,0,2010-12-01
12644,56,3,1440.58,480.1933333333334,0,2010-12-01
12645,35,4,1764.12,441.03,0,2010-12-01
12647,11,24,13232.73,551.36375,1,2010-12-01
12648,63,3,793.95,264.65000000000003,0,2010-12-01
12649,8,5,1671.1399999999999,334.22799999999995,0,2010-12-01
12651,4,3,263.75,87.91666666666667,0,2010-12-01
12652,60,1,97.05000000000001,97.05000000000001,0,2010-12-01
12653,152,1,1950.98,1950.98,0,2010-12-01
12655,49,1,261.35,261.35,0,2010-12-01
12656,51,3,2356.66,785.5533333333333,0,2010-12-01
12661,62,1,162.0,162.0,0,2010-12-01
12662,7,9,2876.76,319.64000000000004,1,2010-12-01
12663,250,2,239.4,119.7,0,2010-12-01
12664,140,2,1188.16,594.08,0,2010-12-01
12665,43,2,250.6,125.30000000000001,0,2010-12-01
12666,20,1,1248.42,1248.42,0,2010-12-01
12668,4,6,7637.53,1272.9216666666666,1,2010-12-01
12670,11,2,764.24,382.12,0,2010-12-01
12671,232,1,2622.481,2622.481,0,2010-12-01
12672,221,1,211.15,211.15,0,2010-12-01
12673,27,1,619.5,619.5,0,2010-12-01
12675,179,2,958.5,479.25,0,2010-12-01
12676,34,5,1511.7,302.34,0,2010-12-01
12677,181,2,395.1,197.55,0,2010-12-01
12678,1,9,16652.72,1850.3022222222223,1,2010-12-01
12681,4,23,16047.22,697.7052173913044,1,2010-12-01
12682,11,21,10670.4,508.1142857142857,1,2010-12-01
12683,82,6,3157.13,526.1883333333334,1,2010-12-01
12687,106,2,2138.91,1069.455,0,2010-12-01
12691,46,1,134.6,134.6,1,2010-12-01
12692,263,1,110.95,110.95,0,2010-12-01
12693,22,3,847.11,282.37,0,2010-12-01
12694,47,1,973.68,973.68,0,2010-12-01
12695,154,3,825.02,275.00666666666666,0,2010-12-01
12696,60,2,851.91,425.955,0,2010-12-01
12698,216,1,339.75,339.75,0,2010-12-01
12699,43,1,638.11,638.11,0,2010-12-01
12701,155,4,1648.7,412.175,0,2010-12-01
12703,259,3,722.98,240.99333333333334,0,2010-12-01
12705,9,5,4893.81,978.762,1,2010-12-01
12708,30,8,2404.75,300.59375,1,2010-12-01
12709,12,19,20834.12,1096.5326315789473,1,2010-12-01
12711,237,2,1339.05,669.525,0,2010-12-01
12712,25,8,2326.9,290.8625,1,2010-12-01
12714,14,7,9384.85,1340.6928571428573,0,2010-12-01
12717,216,1,277.93,277.93,0,2010-12-01
12720,37,5,2005.55,401.11,1,2010-12-01
12721,11,2,1356.95,678.4749999999999,1,2010-12-01
12724,9,3,1286.11,428.7033333333333,0,2010-12-01
12725,40,3,1838.96,612.9866666666667,1,2010-12-01
12726,13,4,1405.5,351.375,1,2010-12-01
12727,68,3,1698.8300000000002,566.2766666666668,0,2010-12-01
12728,9,1,233.84,233.84,0,2010-12-01
12730,147,1,829.25,829.25,0,2010-12-01
12731,68,5,6879.8,1375.96,1,2010-12-01
12733,15,3,2040.92,680.3066666666667,0,2010-12-01
12734,0,2,529.25,264.625,1,2010-12-01
12737,124,2,3710.5,1855.25,0,2010-12-01
12739,11,2,1713.69,856.845,0,2010-12-01
12741,155,2,406.07,203.035,0,2010-12-01
12742,251,1,1201.52,1201.52,0,2010-12-01
12744,85,4,4037.77,1009.4425,0,2010-12-01
12745,112,3,925.41,308.46999999999997,0,2010-12-01
12746,166,1,254.55,254.55,0,2010-12-01
12747,14,15,4721.97,314.798,1,2010-12-01
12748,1,127,20878.31,164.39614173228347,1,2010-12-01
12749,25,4,2806.48,701.62,0,2010-12-01
12751,70,1,268.27,268.27,0,2010-12-01
12755,11,9,1424.31,158.25666666666666,1,2010-12-01
12758,85,5,7111.650000000001,1422.33,0,2010-12-01
12759,12,5,3489.3,697.86,0,2010-12-01
12760,81,1,347.8,347.8,0,2010-12-01
12761,83,2,782.95,391.475,0,2010-12-01
12765,98,6,1404.58,234.09666666666666,0,2010-12-01
12766,14,2,1929.3600000000001,964.6800000000001,1,2010-12-01
12767,1,1,949.82,949.82,0,2010-12-01
12768,76,1,168.69000000000003,168.69000000000003,0,2010-12-01
12770,82,1,1895.0,1895.0,0,2010-12-01
12771,111,1,282.3,282.3,0,2010-12-01
12773,190,1,124.25,124.25,0,2010-12-01
12774,161,1,98.7,98.7,0,2010-12-01
12775,14,2,300.08,150.04,0,2010-12-01
12776,293,1,55.5,55.5,0,2010-12-01
12777,83,1,519.45,519.45,0,2010-12-01
12778,22,3,953.45,317.81666666666666,0,2010-12-01
12779,18,6,2492.75,415.4583333333333,1,2010-12-01
12780,224,1,337.4,337.4,0,2010-12-01
12782,0,6,2287.32,381.22,1,2010-12-01
12784,155,1,1230.33,1230.33,0,2010-12-01
12785,161,2,788.45,394.225,1,2010-12-01
12786,235,1,728.5,728.5,0,2010-12-01
12787,39,1,398.52,398.52,0,2010-12-01
12788,89,4,444.9,111.225,0,2010-12-01
12789,138,2,181.5,90.75,0,2010-12-01
12790,36,1,266.93,266.93,0,2010-12-01
12791,18,5,670.91,134.182,1,2010-12-01
12792,160,1,426.47,426.47,0,2010-12-01
12793,27,1,340.05,340.05,1,2010-12-01
12796,254,1,381.0,381.0,0,2010-12-01
12797,50,1,298.05,298.05,1,2010-12-01
12798,47,1,1533.8899999999999,1533.8899999999999,0,2010-12-01
12799,155,1,219.35,219.35,0,2010-12-01
12800,96,3,584.25,194.75,0,2010-12-01
12801,126,1,1071.82,1071.82,0,2010-12-01
12802,68,6,1988.84,331.4733333333333,0,2010-12-01
12803,19,1,1092.81,1092.81,0,2010-12-01
12804,91,2,327.02,163.51,0,2010-12-01
12805,7,4,1434.95,358.7375,0,2010-12-01
12806,61,4,2878.96,719.74,0,2010-12-01
12807,9,1,330.35,330.35,0,2010-12-01
12808,61,2,293.05,146.525,1,2010-12-01
12809,191,2,1266.63,633.315,0,2010-12-01
12810,160,2,534.99,267.495,0,2010-12-01
12811,4,2,519.05,259.525,0,2010-12-01
12813,127,3,1687.8,562.6,0,2010-12-01
12817,25,2,524.94,262.47,0,2010-12-01
12819,84,1,540.52,540.52,0,2010-12-01
12820,23,7,1747.18,249.59714285714287,0,2010-12-01
12821,237,1,128.07999999999998,128.07999999999998,0,2010-12-01
12823,20,13,4742.0,364.7692307692308,0,2010-12-01
12825,147,2,518.63,259.315,0,2010-12-01
12826,30,5,1326.03,265.206,1,2010-12-01
12829,176,1,92.30000000000001,92.30000000000001,1,2010-12-01
12831,89,2,236.06,118.03,0,2010-12-01
12835,53,41,6043.31,147.3978048780488,0,2010-12-01
12836,15,11,3972.76,361.16,0,2010-12-01
12837,195,1,554.31,554.31,0,2010-12-01
12838,13,8,2324.56,290.57,1,2010-12-01
12839,5,12,4077.7,339.80833333333334,1,2010-12-01
12840,63,3,1315.2,438.40000000000003,0,2010-12-01
12841,5,15,3012.34,200.82266666666666,1,2010-12-01
12842,30,2,799.0,399.5,0,2010-12-01
12843,8,22,4886.15,222.09772727272727,0,2010-12-01
12844,68,2,322.64,161.32,0,2010-12-01
12846,308,1,15.58,15.58,0,2010-12-01
12847,13,1,765.36,765.36,0,2010-12-01
12848,301,1,208.0,208.0,0,2010-12-01
12849,7,4,2039.67,509.91749999999996,0,2010-12-01
12850,71,1,330.0,330.0,0,2010-12-01
12851,103,1,148.95,148.95,0,2010-12-01
12853,53,5,1950.4,390.08000000000004,0,2010-12-01
12854,187,4,1669.52,417.38,0,2010-12-01
12855,20,3,574.74,191.58,1,2010-12-01
12857,62,4,2581.6,645.4,0,2010-12-01
12858,9,1,177.92,177.92,0,2010-12-01
12859,84,1,575.1,575.1,0,2010-12-01
12860,319,1,55.47,55.47,0,2010-12-01
12861,245,1,68.25,68.25,0,2010-12-01
12862,51,2,1008.3199999999999,504.15999999999997,0,2010-12-01
12863,5,5,2271.35,454.27,0,2010-12-01
12864,134,1,152.45,152.45,0,2010-12-01
12865,4,2,1755.24,877.6200000000001,0,2010-12-01
12866,100,2,668.23,334.115,0,2010-12-01
12867,23,6,3876.47,646.0783333333333,1,2010-12-01
12868,6,2,436.7,218.35000000000002,1,2010-12-01
12869,307,1,337.66999999999996,337.66999999999996,0,2010-12-01
12870,1,3,1676.95,558.9833333333333,0,2010-12-01
12871,65,1,363.38,363.38,0,2010-12-01
12872,9,10,2706.9900000000002,270.699,1,2010-12-01
12873,23,2,1653.3,826.6500000000001,0,2010-12-01
12874,11,2,948.42,474.21,0,2010-12-01
12875,97,3,1013.76,337.92,1,2010-12-01
12876,20,2,1863.77,931.885,0,2010-12-01
12877,27,8,1419.4,177.425,1,2010-12-01
12880,7,2,640.13,320.065,0,2010-12-01
12887,9,1,222.4,222.4,0,2010-12-01
12889,7,4,385.46000000000004,96.36500000000001,0,2010-12-01
12890,13,1,336.8,336.8,0,2010-12-01
12891,84,8,509.5,63.6875,0,2010-12-01
12892,22,1,263.38,263.38,0,2010-12-01
12894,201,1,157.35,157.35,0,2010-12-01
12897,7,2,297.75,148.875,0,2010-12-01
12898,89,2,310.96000000000004,155.48000000000002,0,2010-12-01
12899,39,1,366.4,366.4,0,2010-12-01
12900,48,1,340.33,340.33,0,2010-12-01
12903,54,1,833.53,833.53,0,2010-12-01
12905,202,2,1018.42,509.21,0,2010-12-01
12907,21,2,508.91,254.45499999999998,0,2010-12-01
12908,6,3,1026.0,342.0,0,2010-12-01
12909,50,3,924.52,308.17333333333335,0,2010-12-01
12910,5,5,2721.48,544.296,0,2010-12-01
12911,177,1,1680.47,1680.47,0,2010-12-01
12913,6,8,3799.61,474.95125,1,2010-12-01
12914,26,1,223.98,223.98,0,2010-12-01
12915,98,2,611.45,305.725,1,2010-12-01
12916,68,3,1647.87,549.29,0,2010-12-01
12917,26,5,3765.2,753.04,0,2010-12-01
12918,252,1,10953.5,10953.5,0,2010-12-01
12920,197,3,323.86,107.95333333333333,0,2010-12-01
12921,11,37,18646.15,503.95000000000005,1,2010-12-01
12923,16,2,612.9,306.45,0,2010-12-01
12924,19,8,1535.7,191.9625,0,2010-12-01
12925,218,1,35.28,35.28,0,2010-12-01
12926,37,4,1548.46,387.115,0,2010-12-01
12927,20,1,197.31,197.31,0,2010-12-01
12928,4,7,2242.19,320.3128571428571,1,2010-12-01
12931,6,42,50291.38,1197.4138095238097,1,2010-12-01
12932,165,8,1698.56,212.32,0,2010-12-01
12933,6,5,1079.5,215.9,0,2010-12-01
12934,362,1,181.65,181.65,0,2010-12-01
12935,1,8,2083.16,260.395,0,2010-12-01
12937,89,5,1593.34,318.668,0,2010-12-01
12939,5,12,13683.0,1140.25,0,2010-12-01
12941,350,1,377.49,377.49,0,2010-12-01
12943,184,2,496.5,248.25,0,2010-12-01
12945,282,1,437.16,437.16,0,2010-12-01
12946,62,1,324.45,324.45,0,2010-12-01
12948,356,2,252.48000000000002,126.24000000000001,0,2010-12-01
12949,8,14,11359.48,811.3914285714285,0,2010-12-01
12951,12,9,2149.65,238.85000000000002,0,2010-12-01
12953,148,1,498.96000000000004,498.96000000000004,0,2010-12-01
12954,264,1,162.45,162.45,0,2010-12-01
12956,310,3,413.82,137.94,0,2010-12-01
12957,167,5,4689.43,937.8860000000001,0,2010-12-01
12958,26,2,539.49,269.745,0,2010-12-01
12959,110,1,150.95,150.95,0,2010-12-01
12960,39,4,1322.07,330.51750000000004,0,2010-12-01
12961,5,1,211.99,211.99,0,2010-12-01
12963,61,4,1379.16,344.79,1,2010-12-01
12964,63,1,132.24,132.24,0,2010-12-01
12967,9,1,1277.6200000000001,1277.6200000000001,1,2010-12-01
12969,228,1,122.45,122.45,0,2010-12-01
12970,6,6,1072.73,178.78833333333333,0,2010-12-01
12971,0,30,4514.6900000000005,150.4896666666667,1,2010-12-01
12972,39,4,1161.2,290.3,0,2010-12-01
12973,39,1,385.55,385.55,0,2010-12-01
12974,191,1,264.15,264.15,0,2010-12-01
12975,62,6,2100.09,350.01500000000004,0,2010-12-01
12976,4,7,2417.7799999999997,345.3971428571429,0,2010-12-01
12977,127,3,478.39,159.46333333333334,0,2010-12-01
12978,11,5,2502.82,500.564,0,2010-12-01
12979,355,1,517.7,517.7,0,2010-12-01
12980,12,12,8870.880000000001,739.2400000000001,1,2010-12-01
12982,20,7,2354.27,336.32428571428574,0,2010-12-01
12983,224,1,490.08000000000004,490.08000000000004,0,2010-12-01
12986,54,10,2729.84,272.98400000000004,0,2010-12-01
12987,46,3,753.51,251.17,0,2010-12-01
12989,50,18,6627.64,368.20222222222225,1,2010-12-01
12990,43,4,546.0,136.5,0,2010-12-01
12991,15,1,261.06,261.06,0,2010-12-01
12992,351,1,93.35000000000001,93.35000000000001,0,2010-12-01
12993,71,4,844.87,211.2175,0,2010-12-01
12996,1,1,355.5,355.5,0,2010-12-01
12997,20,4,884.02,221.005,0,2010-12-01
12998,118,3,920.08,306.6933333333333,0,2010-12-01
13000,351,1,497.65000000000003,497.65000000000003,1,2010-12-01
13001,30,20,14353.28,717.664,0,2010-12-01
13002,42,2,293.18,146.59,0,2010-12-01
13004,12,18,5994.94,333.0522222222222,1,2010-12-01
13005,57,2,485.98,242.99,0,2010-12-01
13007,205,1,175.25,175.25,0,2010-12-01
13008,23,2,382.66,191.32999999999998,0,2010-12-01
13009,298,1,234.0,234.0,0,2010-12-01
13010,0,2,330.12,165.06,0,2010-12-01
13012,55,3,1310.99,436.99666666666667,0,2010-12-01
13013,13,16,6286.490000000001,392.905625,1,2010-12-01
13014,58,1,1914.8,1914.8,0,2010-12-01
13015,64,6,3240.14,540.0233333333334,0,2010-12-01
13018,39,7,2485.46,355.0657142857143,0,2010-12-01
13019,5,6,1229.95,204.99166666666667,0,2010-12-01
13020,188,2,618.96,309.48,0,2010-12-01
13021,0,8,2270.86,283.8575,1,2010-12-01
13022,55,1,65.3,65.3,0,2010-12-01
13023,154,1,759.13,759.13,0,2010-12-01
13024,96,2,555.87,277.935,0,2010-12-01
13025,357,1,323.39,323.39,0,2010-12-01
13026,114,4,757.72,189.43,0,2010-12-01
13027,11,13,10423.2,801.7846153846154,1,2010-12-01
13029,0,2,679.8,339.9,1,2010-12-01
13031,33,5,3419.27,683.854,0,2010-12-01
13032,18,7,1833.37,261.90999999999997,0,2010-12-01
13033,55,1,30.0,30.0,1,2010-12-01
13034,27,1,114.05000000000001,114.05000000000001,1,2010-12-01
13035,57,1,442.32,442.32,0,2010-12-01
13036,310,1,307.1,307.1,0,2010-12-01
13037,25,9,3033.88,337.09777777777776,0,2010-12-01
13039,210,4,1010.73,252.6825,0,2010-12-01
13041,76,4,799.13,199.7825,0,2010-12-01
13042,224,3,1556.54,518.8466666666667,0,2010-12-01
13044,118,10,4293.43,429.343,0,2010-12-01
13045,27,2,503.64,251.82,0,2010-12-01
13046,82,1,319.94,319.94,0,2010-12-01
13047,40,14,5190.99,370.78499999999997,1,2010-12-01
13048,62,5,2248.3,449.66,0,2010-12-01
13049,15,2,751.5600000000001,375.78,0,2010-12-01
13050,0,18,6179.66,343.31444444444446,1,2010-12-01
13051,204,2,155.8,77.9,0,2010-12-01
13052,46,6,2820.38,470.06333333333333,0,2010-12-01
13053,247,1,127.65,127.65,0,2010-12-01
13055,55,1,1106.7,1106.7,0,2010-12-01
13056,177,1,209.48,209.48,0,2010-12-01
13057,156,3,722.09,240.6966666666667,0,2010-12-01
13059,39,9,2119.77,235.53,0,2010-12-01
13063,106,1,188.4,188.4,0,2010-12-01
13064,176,2,561.25,280.625,0,2010-12-01
13065,18,4,849.19,212.2975,1,2010-12-01
13067,35,2,393.05,196.52499999999998,0,2010-12-01
13069,2,14,4914.51,351.0364285714286,1,2010-12-01
13070,85,3,522.9,174.29999999999998,0,2010-12-01
13071,238,1,129.22,129.22,0,2010-12-01
13073,37,2,418.08,209.04,0,2010-12-01
13074,137,4,1378.74,344.685,0,2010-12-01
13076,83,1,135.4,135.4,0,2010-12-01
13077,7,7,2021.68,288.81142857142856,1,2010-12-01
13078,0,31,16390.12,528.7135483870967,1,2010-12-01
13079,43,1,199.08,199.08,0,2010-12-01
13080,27,3,222.65,74.21666666666667,0,2010-12-01
13081,14,17,28500.99,1676.528823529412,1,2010-12-01
13082,50,12,3722.12,310.1766666666667,0,2010-12-01
13083,51,1,91.67999999999999,91.67999999999999,0,2010-12-01
13084,117,1,122.39999999999999,122.39999999999999,0,2010-12-01
13085,305,6,2017.2,336.2,0,2010-12-01
13086,8,1,439.33000000000004,439.33000000000004,0,2010-12-01
13087,352,1,313.64,313.64,0,2010-12-01
13088,43,1,236.11,236.11,0,2010-12-01
13089,5,106,54681.41,515.8623584905661,1,2010-12-01
13090,0,10,4183.87,418.387,1,2010-12-01
13091,355,2,1976.0,988.0,0,2010-12-01
13092,40,7,1662.45,237.49285714285716,1,2010-12-01
13093,0,47,46311.78,985.3570212765957,1,2010-12-01
13094,15,1,282.12,282.12,1,2010-12-01
13096,20,1,419.70000000000005,419.70000000000005,0,2010-12-01
13097,14,18,7378.8,409.93333333333334,1,2010-12-01
13101,124,3,594.21,198.06999999999996,0,2010-12-01
13102,5,13,4956.01,381.2315384615385,1,2010-12-01
13103,63,2,465.70000000000005,232.85000000000002,0,2010-12-01
13104,41,3,610.62,203.54,1,2010-12-01
13105,62,1,72.0,72.0,0,2010-12-01
13106,39,1,526.96,526.96,0,2010-12-01
13107,39,5,3721.45,744.29,0,2010-12-01
13108,61,1,398.4,398.4,1,2010-12-01
13109,177,1,347.49,347.49,0,2010-12-01
13110,63,5,1468.8000000000002,293.76000000000005,0,2010-12-01
13111,344,1,321.88000000000005,321.88000000000005,0,2010-12-01
13112,167,1,20.6,20.6,0,2010-12-01
13113,1,13,6006.8,462.0615384615384,1,2010-12-01
13114,356,1,234.38,234.38,0,2010-12-01
13115,5,6,3199.92,533.32,0,2010-12-01
13117,12,10,1270.75,127.075,1,2010-12-01
13118,2,4,1217.6,304.4,0,2010-12-01
13119,294,1,134.9,134.9,0,2010-12-01
13123,98,2,506.75,253.375,0,2010-12-01
13124,11,1,916.12,916.12,1,2010-12-01
13125,149,1,158.57,158.57,0,2010-12-01
13126,33,5,1675.17,335.034,1,2010-12-01
13128,257,1,263.5,263.5,0,2010-12-01
13129,78,2,233.25,116.625,0,2010-12-01
13131,44,4,2240.47,560.1175,0,2010-12-01
13133,85,1,90.65,90.65,0,2010-12-01
13134,28,2,681.65,340.825,0,2010-12-01
