CustomerID,recency,frequency,monetary,cluster,segment
12346,325,12,77556.46,3,Champions
12347,2,8,5633.32,3,Champions
12348,75,5,2019.4,1,Loyal Customers
12349,18,4,4428.69,2,Potential Customers
12350,310,1,334.4,0,At Risk
12351,375,1,300.93,0,At Risk
12352,36,10,2849.84,3,Champions
12353,204,2,406.76,0,At Risk
12354,232,1,1079.4,0,At Risk
12355,214,2,947.61,1,Loyal Customers
12356,22,6,6373.68,3,Champions
12357,33,3,18287.66,3,Champions
12358,1,5,3887.07,3,Champions
12359,57,10,8935.94,3,Champions
12360,52,8,4252.89,1,Loyal Customers
12361,287,4,511.25,1,Loyal Customers
12362,3,11,5356.23,3,Champions
12363,109,2,552.0,0,At Risk
12364,7,4,1313.1,2,Potential Customers
12365,291,2,641.38,0,At Risk
12366,633,1,500.24,0,At Risk
12367,4,1,168.9,2,Potential Customers
12368,628,1,917.6999999999999,0,At Risk
12369,413,3,1791.15,1,Loyal Customers
12370,51,7,4320.31,1,Loyal Customers
12371,44,5,4067.38,1,Loyal Customers
12372,71,3,1298.04,1,Loyal Customers
12373,311,3,1127.65,1,Loyal Customers
12374,25,4,2989.2200000000003,2,Potential Customers
12375,10,2,457.5,2,Potential Customers
12376,389,2,503.15,0,At Risk
12377,315,4,3426.32,1,Loyal Customers
12378,129,2,5416.32,1,Loyal Customers
12379,81,4,1620.22,1,Loyal Customers
12380,21,11,9676.300000000001,3,Champions
12381,4,5,1845.31,2,Potential Customers
12383,184,5,1850.56,1,Loyal Customers
12384,28,2,585.27,2,Potential Customers
12385,379,1,1938.4,0,At Risk
12386,337,2,660.8,0,At Risk
12387,415,1,143.94,0,At Risk
12388,15,8,3901.11,3,Champions
12389,402,3,1433.33,1,Loyal Customers
12390,79,1,549.84,0,At Risk
12391,21,6,2773.42,3,Champions
12392,591,1,234.75000000000003,0,At Risk
12393,72,6,2399.4500000000003,1,Loyal Customers
12394,63,2,1272.48,2,Potential Customers
12395,19,15,5067.27,3,Champions
12396,674,1,931.43,0,At Risk
12397,35,2,2409.9,2,Potential Customers
12398,45,1,1635.6599999999999,2,Potential Customers
12399,119,7,1962.3,1,Loyal Customers
12400,414,1,205.25,0,At Risk
12401,303,1,84.3,0,At Risk
12402,323,6,1256.9,1,Loyal Customers
12403,49,2,1019.36,2,Potential Customers
12404,682,1,63.24,0,At Risk
12405,148,1,1710.39,1,Loyal Customers
12406,22,5,6390.36,3,Champions
12407,49,5,1708.1200000000001,1,Loyal Customers
12408,32,8,4340.7699999999995,3,Champions
12409,78,7,23419.29,3,Champions
12410,308,3,1013.71,1,Loyal Customers
12411,409,1,346.9,0,At Risk
12412,74,6,2596.93,1,Loyal Customers
12413,66,4,999.45,1,Loyal Customers
12414,217,6,952.41,1,Loyal Customers
12415,24,28,144458.37,3,Champions
12416,656,1,202.56,0,At Risk
12417,3,20,6816.91,3,Champions
12418,112,4,2021.2,1,Loyal Customers
12419,385,2,503.01,0,At Risk
12420,63,1,600.39,2,Potential Customers
12421,15,6,1098.6,2,Potential Customers
12422,95,17,5231.8,3,Champions
12423,0,10,2622.39,3,Champions
12424,162,4,3340.03,1,Loyal Customers
12425,78,2,1741.41,1,Loyal Customers
12426,194,2,1345.21,1,Loyal Customers
12427,21,3,1129.3,2,Potential Customers
12428,25,9,7956.46,3,Champions
12429,9,8,7485.91,3,Champions
12430,43,1,256.4,2,Potential Customers
12431,35,27,10857.97,3,Champions
12432,42,5,5059.32,1,Loyal Customers
12433,0,10,20581.26,3,Champions
12434,84,3,1103.43,1,Loyal Customers
12435,79,6,13925.93,1,Loyal Customers
12436,99,1,509.01,0,At Risk
12437,1,39,12683.4,3,Champions
12438,14,2,2906.85,2,Potential Customers
12439,682,2,1158.18,0,At Risk
12440,462,2,859.2,0,At Risk
12441,366,1,347.1,0,At Risk
12442,3,1,172.06,2,Potential Customers
12443,732,1,485.31,0,At Risk
12444,21,5,5005.46,3,Champions
12445,22,2,434.98,2,Potential Customers
12446,57,1,1002.3100000000001,2,Potential Customers
12447,243,1,476.49,0,At Risk
12448,44,1,449.45,2,Potential Customers
12449,22,6,4835.89,3,Champions
12450,156,5,688.2,1,Loyal Customers
12451,10,8,12669.88,3,Champions
12452,16,2,430.57,2,Potential Customers
12453,134,1,707.09,0,At Risk
12454,56,5,16679.78,3,Champions
12455,73,10,5879.95,3,Champions
12456,44,3,3181.04,1,Loyal Customers
12457,66,8,2995.91,1,Loyal Customers
12458,71,4,1777.49,1,Loyal Customers
12459,605,1,454.36,0,At Risk
12460,456,1,326.65,0,At Risk
12461,94,2,826.88,2,Potential Customers
12462,18,2,1189.59,2,Potential Customers
12463,53,4,1344.78,1,Loyal Customers
12464,10,8,1212.05,2,Potential Customers
12465,17,2,742.1899999999999,2,Potential Customers
12466,682,1,56.73,0,At Risk
12467,423,1,132.8,0,At Risk
12468,187,5,3670.74,1,Loyal Customers
12469,522,2,3070.54,1,Loyal Customers
12470,689,1,211.95,0,At Risk
12471,2,79,39963.79,3,Champions
12472,32,19,17880.59,3,Champions
12473,29,5,3938.5499999999997,1,Loyal Customers
12474,17,31,12424.45,3,Champions
12475,53,2,1149.64,2,Potential Customers
12476,15,23,14115.41,3,Champions
12477,22,9,20276.37,3,Champions
12478,3,1,680.99,2,Potential Customers
12479,11,1,527.2,2,Potential Customers
12480,28,7,5464.85,3,Champions
12481,22,15,12361.39,3,Champions
